"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
69,7344,"Charley speaks Spanish","F","F","20","Sandra","factH","Amanda","see","Did Anna see that Charley speaks Spanish?","20","NonProj","Yes","Charley lives in Mexico",12
69,5242,"Emily bought a car yesterday","M","F","8","Linda","factH","Justin","pretend","Did Brian pretend that Emily bought a car yesterday?","8","NonProj","No","Emily has been saving for a year",13
69,5203,"Sophia got a tattoo","M","F","5","Karen","factH","Brandon","confirm","Did Ben confirm that Sophia got a tattoo?","5","C","No","Sophia is a hipster",14
69,4116,"Zack is coming to the meeting tomorrow",NA,"M","control1","Paul",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",15
69,7656,"Grace visited her sister","M","M","9","Christopher","factL","Kevin","acknowledge","Did Andrew acknowledge that Grace visited her sister?","9","C","Yes","Grace hates her sister",16
69,7999,"Owen shoveled snow last winter","F","F","17","Sarah","factH","Rebecca","suggest","Did Cynthia suggest that Owen shoveled snow last winter?","17","C","Yes","Owen lives in Chicago",17
69,5128,"Isabella ate a steak on Sunday","M","M","7","Kenneth","factL","Brian","annoyed","Is Kevin annoyed that Isabella ate a steak on Sunday?","7","NonProj","Yes","Isabella is a vegetarian",18
69,6695,"Jayden rented a car","F","F","14","Helen","factL","Melissa","hear","Did Stephanie hear that Jayden rented a car?","14","C","No","Jayden doesn&quotechart have a driver&quotechars license",19
69,3976,"Olivia sleeps until noon","M","F","4","Susan","factL","Raymond","establish","Did Jerry establish that Olivia sleeps until noon?","4","NonProj","No","Olivia has two small children",20
69,5273,"Danny ate the last cupcake","F","F","11","Jennifer","factH","Cynthia","know","Does Amanda know that Danny ate the last cupcake?","11","NonProj","No","Danny loves cake",21
69,8679,"Mary&quotechars aunt is sick",NA,"M","control2","Richard",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",22
69,5991,"Josie went on vacation to France","M","M","2","Paul","factL","Edward","discover","Did Scott discover that Josie went on vacation to France?","2","NonProj","No","Josie doesn&quotechart have a passport",23
69,5084,"Jackson ran 10 miles","F","M","13","Robert","factH","Virginia","confess","Did Laura confess that Jackson ran 10 miles?","13","C","Yes","Jackson is training for a marathon",24
69,6492,"Frank got a cat","F","F","12","Kimberly","factL","Amy","demonstrate","Did Melissa demonstrate that Frank got a cat?","12","C","No","Frank is allergic to cats",25
69,3797,"Todd played football in high school",NA,"F","control3","Helen",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",26
69,5054,"Jon walks to work","F","M","19","David","factH","Brenda","inform_Sam","Did Ruth inform Sam that Jon walks to work?","19","C","Yes","Jon lives 2 blocks away from work",27
70,8622,"Julian dances salsa","F","M","18","James","factH","Carolyn","see","Did Kathleen see that Julian dances salsa?","18","NonProj","Yes","Julian is Cuban",2
70,6270,"Zack is coming to the meeting tomorrow",NA,"M","control1","Kenneth",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",3
70,6821,"Jackson ran 10 miles","F","F","13","Jessica","factH","Catherine","be_right_that","Is Laura right that Jackson ran 10 miles?","13","C","No","Jackson is training for a marathon",4
70,14676,"Emma studied on Saturday morning","M","M","3","David","factL","Gregory","inform_Sam","Did Justin inform Sam that Emma studied on Saturday morning?","3","C","Yes","Emma is in first grade",5
70,6280,"Mia drank 2 cocktails last night","M","M","6","George","factL","Nicholas","pretend","Did Ray pretend that Mia drank 2 cocktails last night?","6","NonProj","No","Mia is a nun",6
70,17069,"Jayden rented a car","F","F","14","Ashley","factL","Joyce","announce","Did Stephanie announce that Jayden rented a car?","14","C","No","Jayden doesn&quotechart have a driver&quotechars license",7
70,6642,"Grace visited her sister","M","F","9","Lisa","factH","Edward","confirm","Did Andrew confirm that Grace visited her sister?","9","C","Yes","Grace loves her sister",8
70,4022,"Madison had a baby",NA,"F","control5","Kimberly",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",9
70,16495,"Josie went on vacation to France","M","M","2","Steven","factH","Larry","demonstrate","Did Scott demonstrate that Josie went on vacation to France?","2","C","No","Josie loves France",10
70,7113,"Josh learned to ride a bike yesterday","F","F","16","Sandra","factH","Brenda","suggest","Did Sharon suggest that Josh learned to ride a bike yesterday?","16","C","No","Josh is a 5-year old boy",11
70,4934,"Zoe calculated the tip","M","F","10","Sarah","factL","Justin","say","Did Tim say that Zoe calculated the tip?","10","C","No","Zoe is 5 years old",12
70,6956,"Tony had a drink last night","F","M","15","Richard","factL","Anna","prove","Did Rebecca prove that Tony had a drink last night?","15","C","No","Tony has been sober for 20 years",13
70,3541,"Vanessa is good at math",NA,"F","control4","Linda",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",14
70,3336,"Mary&quotechars aunt is sick",NA,"F","control2","Sarah",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",15
70,6250,"Charley speaks Spanish","F","M","20","Kenneth","factL","Shirley","discover","Did Anna discover that Charley speaks Spanish?","20","NonProj","Yes","Charley lives in Korea",16
70,5668,"Sophia got a tattoo","M","M","5","Robert","factH","Alexander","know","Does Ben know that Sophia got a tattoo?","5","NonProj","Yes","Sophia is a hipster",17
70,3285,"Mary is pregnant","M","F","1","Michelle","factH","Jacob","hear","Did Patrick hear that Mary is pregnant?","1","C","Yes","Mary is taking a prenatal yoga class",18
70,4865,"Olivia sleeps until noon","M","F","4","Dorothy","factL","Eric","think","Does Jerry think that Olivia sleeps until noon?","4","NonProj","No","Olivia has two small children",19
70,9564,"Danny ate the last cupcake","F","F","11","Elizabeth","factH","Laura","admit","Did Amanda admit that Danny ate the last cupcake?","11","C","Yes","Danny loves cake",20
70,15590,"Jon walks to work","F","F","19","Kimberly","factL","Diane","acknowledge","Did Ruth acknowledge that Jon walks to work?","19","C","Yes","Jon lives 10 miles away from work",21
70,5962,"Frank got a cat","F","F","12","Linda","factL","Heather","reveal","Did Melissa reveal that Frank got a cat?","12","NonProj","No","Frank is allergic to cats",22
70,6049,"Emily bought a car yesterday","M","M","8","Paul","factH","Ryan","annoyed","Is Brian annoyed that Emily bought a car yesterday?","8","NonProj","Yes","Emily has been saving for a year",23
70,8671,"Isabella ate a steak on Sunday","M","F","7","Karen","factH","Timothy","confess","Did Kevin confess that Isabella ate a steak on Sunday?","7","C","No","Isabella is from Argentina",24
70,9758,"Owen shoveled snow last winter","F","M","17","William","factL","Amy","establish","Did Cynthia establish that Owen shoveled snow last winter?","17","NonProj","No","Owen lives in New Orleans",25
70,3951,"Hendrick&quotechars car was expensive",NA,"M","control6","David",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",26
70,4306,"Todd played football in high school",NA,"M","control3","Richard",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",27
71,5776,"Grace visited her sister","M","F","9","Jennifer","factH","Jeffrey","confess","Did Andrew confess that Grace visited her sister?","9","C","Yes","Grace loves her sister",2
71,6175,"Isabella ate a steak on Sunday","M","M","7","Thomas","factL","Kevin","confirm","Did Kevin confirm that Isabella ate a steak on Sunday?","7","C","No","Isabella is a vegetarian",3
71,10126,"Olivia sleeps until noon","M","M","4","Richard","factL","Brian","hear","Did Jerry hear that Olivia sleeps until noon?","4","C","Yes","Olivia has two small children",4
71,4056,"Emily bought a car yesterday","M","F","8","Susan","factL","Gary","admit","Did Brian admit that Emily bought a car yesterday?","8","C","Yes","Emily never has any money",5
71,3817,"Jackson ran 10 miles","F","M","13","Matthew","factL","Heather","annoyed","Is Laura annoyed that Jackson ran 10 miles?","13","NonProj","Yes","Jackson is obese",6
71,4702,"Jon walks to work","F","F","19","Nancy","factH","Stephanie","pretend","Did Ruth pretend that Jon walks to work?","19","NonProj","No","Jon lives 2 blocks away from work",7
71,5402,"Mia drank 2 cocktails last night","M","M","6","George","factL","Larry","be_right_that","Is Ray right that Mia drank 2 cocktails last night?","6","C","No","Mia is a nun",8
